__file__,1.corporate_identity_number_cin,1.global_location_number_gln,2.name_of_the_company,2.address_of_the_registered_office,2.email_id_of_the_company,3.form_for_registration_of,4.applicant_is,5.date_of_instrument_creating_or_modifying_charge,5.nature_description_of_instrument,5.charge_created_or_modified_outside_india,6,7.charge_on,7.others_specify,8.consortium_finance_involved,8.joint_charge_involved,8.number_of_charge_holders,9.category,9.name,9.address.line1,9.address.line2,9.address.city,9.address.state,9.address.country,9.address.pin_code,9.address.iso_country_code,9.email_id,9.has_pan,9.pan,9.bsr_code_branch_code,10.amount_secured_by_charge_in_rs,10.amount_secured_by_charge_in_words,10.amount_in_foreign_currency_details,11.date_of_creating_security_interest,11.borrower_customer_account_number,11.rate_of_interest,11.repayment_term_in_months,11.terms_of_repayment,11.nature_of_facility,11.date_of_disbursement,11.miscellaneous_narrative_information,11.margin,11.extent_and_operation_of_the_charge,11.others,12.date_of_instrument_creating_or_evidencing_the_charge,12.description_of_the_instrument_creating_or_evidencing_the_charge,12.date_of_acquisition_of_the_property,12.amount_of_the_charge_in_rs,12.particulars_of_the_property_charged,13.short_particulars_of_property_or_assets_charged,14.number_of_title_documents_deposited_by_customer,15.is_property_not_registered_in_company_name,16.date_of_creation_or_last_modification_prior_to_present
15_Optional_Attachment-_1_-01022021.pdf,,,,,roc.kanpur@mca.gov.in,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Optional_Attachment-_1_-06082020.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Optional_Attachment-_2_-31072021.pdf,U80900DL2008NPL185369,,,,idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Approval_letter_of_extension_of_financial_year_of_AGM-14022021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Copy_of_Financial_Staements_duly_authenticated_as_per_section_134__Including_Boards_report__auditors_report_and_other_documents_-15102020.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_FormSchV-291114_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Form_2-020113.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Form_23B-020411.OCT.pdf,,,Ipas Development Foundation,,yogesh.midha@in.ey.com,,,20/11/2010,,,,[],,,,,,,,,,ment of correctness given by the auditor,INDIA,,IN,,,,,,,,20/11/2010,,,,,,,,,,,,,,,,,,,
16_Form_AOC-4_XBRL-271115.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Form_CHG-1-07052019_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,181 INDUSTRIAL AREAPHASE II RAM DARBAR CHANDIGARH Chandigarh 160002 India (c),vickyvishal@rediffmail.com,Creation of charge,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Form_DIR-11-10062021_signed.pdf,U80900DL2008NPL185369,,IPAS DEVELOPMENT FOUNDATION,,manningv@ipas.org,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Form_MGT-7-251115.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Notice_of_resignation_filed_with_the_company-14032017.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Optional_Attachment-_1_-30122020.pdf,U85110TG1990PTC011527,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_Optional_Attachment-_2_-01022021.pdf,U85110UP1994PLC016361,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Acknowledgement_received_from_company-09062021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Copy_of_Financial_Staements_duly_authenticated_as_per_section_134__Including_Boards_report__auditors_report_and_other_documents_-10122019.pdf,,,.,,,,,,,,,[],,,,,,,,,BROKERAGE PAID,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Directors_report_as_per_section_134_3_-15102020.pdf,U80900DL2008NPL185369,,,,idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Form23AC-301014_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_FormSchV-271114_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Form_AOC-4-221115.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Form_CHG-1-05112020_signed copy.pdf,L17119WB1915PLC002657,,CALEDONIAN JUTE & INDUSTRIES LTD,9 BIPLABI TRAILOKYA MAHARAJSARANI KOLKATA Kolkata West Bengal 700001 India (c),caledonian@dataone.in,Creation of charge,The Company,05/10/2020,Credit Facility Agreement (LD/2160) Memorandum of Charge/Lien over deposit(LD/2128) Sanction letter (LD/2100) Acknowledgement of Receipt of copy of Documents(LD/2252) (c)* Whether charge is created or modified outside India Yes No,Yes,,['Others'],Lien on Fixed Deposit,No,No,1,Scheduled bank,THE SOUTH INDIAN BANK LIMITED,,"25, KALI KRISHNA TAGORE STREET",KOLKATA,West Bengal-WB *ISO country code IN,code IN,700007,,br0223@sib.co.in,Yes,AABCT0022F,,AABCT0022F,Rupees Eighty Five Lacs only,,05/10/2020,,Commission/Handling Charges - 0.50% p.a.,.,,"One Time bank Guarantee (Fresh) - Rs. 85,00,000.00",,,(j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in,"(a) Date of Creating Security Interest by actual/ constructive deposit of title deeds within bank/ housing finance company 05/10/2020 (DD/MM/YYYY) (b) Borrower's customer/account number (c) * Rate of interest Commission/Handling Charges - 0.50% p.a. (d) Repayment term (in months) . On Demand (e) * Terms of Repayment (f) Nature of facility One Time bank Guarantee (Fresh) - Rs. 85,00,000.00 (g) Date of Disbursement (DD/MM/YYYY) (h) Miscellaneous narrative information 100% (i) *Margin (j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in point 13 herein below to secure the maximum amount under the Said Limit fixed at Rs. 85,00,000.00 together with interest, costs and charges thereon",,,,,,,"KND 0223.101.13858 for Principal Value of Rs 35,00,000/-",,No,
17_Form_MGT-14-090715.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Instrument_s__of_creation_or_modification_of_charge_-07052019.pdf,,,,,,Creation of charge,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_List_of_share_holders__debenture_holders_-20122019.pdf,,,,,arunbombay@gmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Optional_Attachment-_1_-14022021.pdf,,,(ii) The inventory has been physically verified at suitable intervals during the,,mehanassociates@yahoo.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Proof_of_dispatch-14032017.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Copy_of_Financial_Staements_duly_authenticated_as_per_section_134__Including_Boards_report__auditors_report_and_other_documents_-26102019.pdf,,,,,info@svpandco.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Copy_of_resolution_passed_by_the_company-29082019.pdf,U80900DL2008NPL185369,,,,idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Details_of_other_Entity_s_-10122019.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Evidence_of_cessation_-07032017.pdf,U99999CH1997PTC019687,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Form21A-090115_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Form23AC-261013_for_the_FY_ending_on-310313.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Form66-020115_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Form_23AC_XBRL-311014-291014_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Form_CHG-1-29122017_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,181 INDUSTRIAL AREAPHASE II RAM DARBAR CHANDIGARH Chandigarh 160002 India (c),vickyvishal@rediffmail.com,Creation of charge,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Form_DIR-12-300515.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Notice_of_resignation_filed_with_the_company-09062021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_Optional_Attachment-_2_-14022021.pdf,U99999CH1997PTC019687,,| ATOP FASTENERS PRIVATE. LIMITED,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_Copy_of_the_intimation_sent_by_company-29082019.pdf,U80900DL2008NPL185369,,,,idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_Directors_report_as_per_section_134_3_-10122019.pdf,U85110UP1994PLC016361,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_Directors_report_as_per_section_134_3_-26102019.pdf,U85110TG1990PTCO11527,,ARIES HABITAT PRIVATE LIMITED,"details Hyderabad-500016 E-Mail: arunbombay@gmail.com Whether Listed Company [No C—“‘“‘C;C*;*;*~*~*C vii | Name, Address and Contact details of NLA Registrar and Transfer Agent Telephone No.: 040-23732499 ll. PRINCIPAL BUSINESS ACTIVITIES OF THE COMPANY: Business activities which contribute to 10% or more of the total turnover of the company shall be stated- NIL NIC Code of the Product/ service % total turnover of the company Name and Description of main products/ services Il. PARTICULARS OF HOLDING, SUBSIDIARY AND ASSOCIATE COMPANIES: The Company does not have any Holding, Subsidiary or Associate Companies. IV. SHAREHOLDING PATTERN (Equity Share Capital Break up as percenta e of Total Equity): i) Category-wise Share Holding: Category of Shareholders | | De- [ Physical | No. of Shares held at the end of the year | % of _| De- | Physical _| No. of Shares held at the beginning of the year % Change during the year Total | %of | | A. Promoters (1)Indian a)Individual/ HUF b)Central Govt. Cc) State Govt.(s) d) Bodies Corp. e)Banks/FI g) Any Other.... 40,000 40,000 40,000 40,000 Sub-total (A)(1):- (2)Foreign a)NRIs Individuals b)Other Individuals c) Bodies Corp. d)Banks/F1 e) Any Other.... Sub-total (A)(2):- Total shareholding of Promoter (A)=(A)(1)+(A)( 2) B. Public Shareholdin g 40,000 40,000",arunbombay@gmail.com,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_Form23AC-010115_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_Form23AC-090115_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_FormSchV-271013_for_the_FY_ending_on-310313.OCT.pdf,,,Aries Habitat Private Limited,,arunbombay@gmail.com,,,28/09/2013,,,,[],,,,,,,,,,,,,,,,,,,,,28/09/2013,,,,,,,,,,,,,,,,,,,
19_Form_23B_for_period_010412_to_310313-011012.OCT.pdf,,,ATOP FASTENERS PRIVATE LIMITED,,mehanassocites@aol.in,,,29/09/2012,,,,[],,,,,,,,,,ment of correctness given by the auditor,,083735,,,,,,,,,29/09/2012,,,,,,,,,,,,,,,,,,,
19_Form_DIR-12-07032017_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,,vickyvishal@rediffmail.com,,,27/09/1983,,,,[],,,,,,,,,,,,,,,,,,,,,27/09/1983,,,,,,,,,,,,,,,,,,,
19_Form_MGT-14-220415.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_Instrument_s__of_creation_or_modification_of_charge_-29122017.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_Proof_of_dispatch-09062021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_XBRL_financial_statements_duly_authenticated_as_per_section_134__including_Board's_report_auditor's_report_and_other_documents_-14022021.pdf,U99999CH1997PTC019687,,ATOP FASTENERS PRIVATE LIMITED,,mehanassociates@yahoo.com,,The Company,01/04/2019,,,,[],,,,,,,,,,,,,,,,,,,,,01/04/2019,,,,,,,,,,,,,,,,,,,
1_-020115.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_CERTIFICATE_OF_REGISTRATION_OF_CHARGE-20200807.pdf,,,: ATOP FASTENERS PRIVATE LIMITED,,,Creation of charge,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Copy_of_Financial_Staements_duly_authenticated_as_per_section_134__Including_Boards_report__auditors_report_and_other_documents_-28092022.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Declaration_by_first_director-31122021.pdf,U85110TG1990PTC011527,,,,arunbombay@gmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Evidence_of_cessation_-18022021.pdf,U99999CH1997PTC019687,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Evidence_of_cessation_-21022018.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Form_AOC-4-11112022.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Form_AOC-4-22112022.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Form_AOC-4-28092022_signed.pdf,,,IPAS DEVELOPMENT FOUNDATION,,sethip@ipas.org,,The Company,25/07/2022,,,,[],,,,,,of the subsidiary company,,,,,,,,,,,,,,,25/07/2022,,,,,,,,,,,,,,,,,,,
1_Form_CHG-1-31072021_signed.pdf,L17119WB1915PLC002657,,CALEDONIAN JUTE & INDUSTRIES LTD,9 BIPLABI TRAILOKYA MAHARAJSARANI KOLKATA Kolkata West Bengal 700001 India (c),caledonian@dataone.in,Creation of charge,The Company,05/07/2021,Credit Facility Agreement (LD/2160) Memorandum of Charge/Lien over Deposits(LD/2128) Sanction Letter (LD/2100) Board Resolution (c)* Whether charge is created or modified outside India Yes No,Yes,,['Others'],Lien on Fixed Deposit,No,No,1,Scheduled bank,THE SOUTH INDIAN BANK LIMITED,,"25, KALI KRISHNA TAGORE STREET",KOLKATA,West Bengal-WB *ISO country code IN,code IN,700007,,br0223@sib.co.in,Yes,AABCT0022F,,AABCT0022F,Rupees Three Lacs Seventy Five Thousand only,,05/07/2021,,Commission/Handling Charges - 0.85% p.a.,.,,"One Time Bank Guarantee - Rs. 3,75,000.00",,,(j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in,"(a) Date of Creating Security Interest by actual/ constructive deposit of title deeds within bank/ housing finance company 05/07/2021 (DD/MM/YYYY) (b) Borrower's customer/account number (c) * Rate of interest Commission/Handling Charges - 0.85% p.a. (d) Repayment term (in months) . On Demand (e) * Terms of Repayment (f) Nature of facility One Time Bank Guarantee - Rs. 3,75,000.00 (g) Date of Disbursement (DD/MM/YYYY) (h) Miscellaneous narrative information 100% (i) *Margin (j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in point 13 herein below to secure the maximum amount under the Said Limit fixed at Rs. 3,75,000.00 together with interest, costs and charges thereon",,,,,,,"Lien on Fixed Deposit Gen No. 0223.100.2220 Dated 27.09.2019 Valued Rs. 400,000.00 in the name of the",,No,
1_Form_CHG-4-13032021_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,181 INDUSTRIAL AREAPHASE II RAM DARBAR CHANDIGARH Chandigarh 160002 (c) email ID of the company rakesh@atopfasteners.com,rakesh@atopfasteners.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Form_CSR-1-06042021_signed.pdf,,,"(ii) If no, whether the entity has an established track record of three years in",,sethip@ipas.org,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Form_DPT-3-06072022_signed.pdf,,,ARIES HABITAT PRIVATE LIMITED,,arunbombay@gmail.com,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(d) Value of the property,,,
1_Form_DPT-3-23012020-signed.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Form_PAS-6-27042022_signed.pdf,,,ASB PROJECTS LIMITED.,,accounts@ashokcosmosmall.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_List_of_share_holders__debenture_holders_-28112022.pdf,U85110TG1990PTCO01152,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_List_of_share_holders__debenture_holders_-29112022.pdf,U99999CH1997PTC019687,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Optional_Attachment-_1_-11112022.pdf,U85110UP1994PLC016361,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Optional_Attachment-_1_-19092022.pdf,U80900DL2008NPL185369,,,,idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_Copy_of_Financial_Staements_duly_authenticated_as_per_section_134__Including_Boards_report__auditors_report_and_other_documents_-24122018.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_Copy_of_MGT-8-21112019.pdf,U99999CHI997PTCO01968,,,,csvishalarora@yahoo.in,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_Copy_of_written_consent_given_by_auditor-29082019.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_Evidence_of_cessation_-07062021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_Form21A-111113_for_the_FY_ending_on-310313.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_Form23AC-161112_for_the_FY_ending_on-310312.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_FormSchV-010115_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_Form_CHG-1-30072020_signed.pdf,L17119WB1915PLC002657,,CALEDONIAN JUTE & INDUSTRIES LTD,9 BIPLABI TRAILOKYA MAHARAJSARANI KOLKATA Kolkata West Bengal 700001 India (c),caledonian@dataone.in,Creation of charge,The Company,30/06/2020,Memorandum of Charge/Lien over deposit(LD/2128) Sanction letter (LD/2100) Attestation Memo Acknowledgement of Receipt of copy of Documents(LD/2252) (c)* Whether charge is created or modified outside India Yes No,Yes,,['Others'],Lien on Fixed Deposit,No,No,1,Scheduled bank,THE SOUTH INDIAN BANK LIMITED,,"25, KALI KRISHNA TAGORE STREET",KOLKATA,West Bengal-WB *ISO country code IN,code IN,700007,,br0223@sib.co.in,Yes,AABCT0022F,,AABCT0022F,Rupees Nineteen Lacs only,,30/06/2020,,Interest @8.05% (Present Deposit Rate 7.05%+1.00%),.,,"FSLD(Fresh) - Rs. 19,00,000.00",,,(j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in,"(a) Date of Creating Security Interest by actual/ constructive deposit of title deeds within bank/ housing finance company 30/06/2020 (DD/MM/YYYY) (b) Borrower's customer/account number (c) * Rate of interest Interest @8.05% (Present Deposit Rate 7.05%+1.00%) (d) Repayment term (in months) . On Demand (e) * Terms of Repayment (f) Nature of facility FSLD(Fresh) - Rs. 19,00,000.00 (g) Date of Disbursement (DD/MM/YYYY) (h) Miscellaneous narrative information 10.00% (i) *Margin (j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in point 13 herein below to secure the maximum amount under the Said Limit fixed at Rs. 19,00,000.00 together with interest, costs and charges thereon",,,,,,,"Lien on KND 0223.101.13028 for principal of Rs 24,08,651/- dated 18.10.2019 in the name of the company",,No,
20_List_of_share_holders__debenture_holders_-10122019.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_Notice_of_resignation_-07032017.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_Optional_Attachment-_1_-29122017.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_Declaration_of_the_appointee_director__Managing_director__in_Form_No._DIR-2_-17122016.pdf,,,,,sanjam@atopfasteners.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_Declaration_under_section_90-11092019.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_Directors_report_as_per_section_134_3_-24122018.pdf,U85110TG1990PTC011527,,,"details Whether Listed Company [Noo Cs vii { Name, Address and Contact details of NLA Registrar and Transfer Agent Il. PRINCIPAL BUSINESS ACTIVITIES OF THE COMPANY: Business activities which contribute to 10% or more of the total turnover of the company shall be stated- NIL NIC Code of the Product/ service % total turnover of the company Name and Description of main products/ services Ill. PARTICULARS OF HOLDING, SUBSIDIARY AND ASSOCIATE COMPANIES: The Company does not have any Holding, Subsidiary or Associate Companies. IV. SHAREHOLDING PATTERN (Equity Share Capital Break up as ercentage of Total Equity): i) Category-wise Share Holding: Category of Shareholders “eChange during the year the year of the year No. of Shares held at the beginning of | No. of Shares held at the end De- | Physical Total mat Physical A. Promoters (1)Indian a)Individual/ HUF b)Central Govt. c) State Govt.(s) d) Bodies Corp. e)Banks/FI g) Any Other.... 40,000 99.50 | NIL 40,000 40,000 40,000 40,000 99.50 | NIL 40,000 40,000 Sub-total (A)(1):- (2)Foreign a)NRIs Individuals b)Other Individuals c) Bodies Corp. d)Banks/FI e) Any Other.... Sub-total (A)(2):- Total shareholding of Promoter aaa B. Public Shareholdin g",arunbombay@gqmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_Form23AC-301013_for_the_FY_ending_on-310313.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_FormSchV-161112_for_the_FY_ending_on-310312.OCT.pdf,,,Aries Habitat Private Limited,,arunbombay@gmail.com,,,29/09/2012,,,,[],,,,,,,,,,,,,,,,,,,,,29/09/2012,,,,,,,,,,,,,,,,,,,
21_Form_23AC_XBRL-271113-251113_for_the_FY_ending_on-310313.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_Form_23B_for_period_010411_to_310312-011011.OCT.pdf,,,ATOP FASTENERS PRIVATE LIMITED,,mehan41@gmail.com,,,30/09/2011,,,,[],,,,,,,,,,ment of correctness given by the auditor,,083735,,,,,,,,,30/09/2011,,,,,,,,,,,,,,,,,,,
21_Form_DIR-12-07062021_signed.pdf,,,IPAS DEVELOPMENT FOUNDATION,,manningv@ipas.org,,,08/05/1979,,,,[],,,,,,,,,,,,,,,,,,,,,08/05/1979,,,,,,,,,,,,,,,,,,,
21_Form_MGT-14-230315.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_Frm23ACA-010115_for_the_FY_ending_on-310314.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_List_of_share_holders__debenture_holders_-21112019.pdf,U99999CH1997PTC019687,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_Optional_Attachment-_1_-29082019.pdf,,,,,idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_Optional_Attachment-_2_-29122017.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_Copy_of_Financial_Staements_duly_authenticated_as_per_section_134__Including_Boards_report__auditors_report_and_other_documents_-17082019.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,charged and the,,,,,,,,,,,,,,,,,
22_Form23AC-011112_for_the_FY_ending_on-310312.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_Form23AC-160911_for_the_FY_ending_on-310311.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_Form23AC-271013_for_the_FY_ending_on-310313.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_FormSchV-241113_for_the_FY_ending_on-310313.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22_Form_23B-101010.OCT.pdf,,,ATOP FASTENERS PRIVATE LIMITED,,mehanassociates@aol.in,,,24/09/2010,,,,[],,,,,,,,,,ment of correctness given by the auditor,,083735,,,,,,,,,24/09/2010,,,,,,,,,,,,,,,,,,,
22_Form_CHG-1-11102016_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,181 INDUSTRIAL AREAPHASE II RAM DARBAR CHANDIGARH Chandigarh 160002 India (c),vickyvishal@rediffmail.com,Creation of charge,The Company,,,,,[],,,,,,"s of charge holders, details of extent to the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
